ID,Link,Title,Price,Locali,Metratura,isArredato
112050453,https://www.immobiliare.it/annunci/112050453/,"Trilocale via Ilaria Alpi, Voltabarozzo, Padova", 690/mese,3 ,73 ,True
112347987,https://www.immobiliare.it/annunci/112347987/,"Trilocale buono stato, secondo piano, Chiesanuova, Padova", 700/mese,3 ,72 ,True
112169617,https://www.immobiliare.it/annunci/112169617/,"Trilocale via Marza 15, Centro, Montegrotto Terme", 660/mese,3 ,75 ,True
111269963,https://www.immobiliare.it/annunci/111269963/,"Trilocale piazza Maggiore, 20, Centro Storico, Este", 750/mese,3 ,75 ,False
111269965,https://www.immobiliare.it/annunci/111269965/,"Trilocale piazza Maggiore, 20, Centro Storico, Este", 750/mese,3 ,75 ,False
110882283,https://www.immobiliare.it/annunci/110882283/,"Quadrilocale via Molare, Centro, Teolo", 700/mese,4 ,96 ,True
112237547,https://www.immobiliare.it/annunci/112237547/,"Trilocale via Zabarella, 81, Santa Sofia - Altinate, Padova", 350/mese,3 ,20 ,True
112433907,https://www.immobiliare.it/annunci/112433907/,"Quadrilocale via Roma 2, Centro, Villa del Conte", 700/mese,4 ,97 ,True
89232805,https://www.immobiliare.it/annunci/89232805/,"Quadrilocale via Pietro Liberi, Arcella - Sant'Antonino, Padova", 790/mese,4 ,79 ,True
